,Unnamed: 0,categorie,charges_annuelles,copropriete_en_difficulte,date_de_construction,etage,mode_chauffage,nature_chauffage,nb_etages,nb_lots,postal_code,price,surface,Unnamed: 0,mode_chauffage,nb_chambres,nb_piece
135,135,Neuf,1200 €,non,1947.0,RDC,Individuel,Electrique,3.0,9.0,paris-75019,"
                                                                            1 343 501 €
                                                                    ",96.5 m²,135,Individuel,2.0,4.0
136,136,Ancien,7200 €,non,1932.0,RDC,Collectif,,8.0,97.0,paris-75016,"
                                                                            1 643 000 €
                                                                    ",197 m²,136,Collectif,3.0,6.0
137,137,,3660 €,non,1900.0,5,Individuel,Gaz,7.0,40.0,paris-75007,"
                                                                            1 770 000 €
                                                                    ",122 m²,137,Individuel,3.0,5.0
138,138,Ancien,,non,,RDC,,,,,paris-75011,"
                                                                            1 875 000 €
                                                                    ",200 m²,138,,9.0,12.0
139,139,Récent,27996 €,non,1988.0,10,Collectif,,11.0,155.0,paris-75016,"
                                                                            3 340 000 €
                                                                    ",305 m²,139,Collectif,4.0,6.0
140,140,,,,1800.0,,,,,,paris-75019,"
                                                                                                                        18 000 €
                                                                                                            ",11,140,,,
141,141,Ancien,36 €,non,1899.0,RDC,,,,110.0,paris-75020,"
                                                                            8 900 €
                                                                    ",,141,,,1.0
142,142,Ancien,624 €,non,1947.0,2,Individuel,Electrique,6.0,55.0,paris-75010,"
                                                                            38 000 €
                                                                    ",,142,Individuel,,1.0
143,143,Ancien,72 €,non,1900.0,RDC,,,4.0,20.0,paris-75016,"
                                                                            66 000 €
                                                                    ",,143,,,1.0
144,144,,,non,1900.0,RDC,Individuel,Clim réversible,5.0,,paris-75001,"
                                                                            187 000 €
                                                                    ",,144,Individuel,,2.0
145,145,Ancien,1800 €,non,1920.0,RDC,Collectif,Urbain,6.0,62.0,paris-75015,"
                                                                            209 000 €
                                                                    ",,145,Collectif,,2.0
146,146,,2160 €,non,1850.0,RDC,Individuel,Electrique,6.0,95.0,paris-75010,"
                                                                            423 000 €
                                                                    ",,146,Individuel,,3.0
147,147,Ancien,5400 €,non,1900.0,RDC,Collectif,Gaz,6.0,16.0,paris-75016,"
                                                                            944 000 €
                                                                    ",,147,Collectif,,2.0
148,148,Ancien,2952 €,non,,RDC,,,,40.0,paris-75005,"
                                                                            1 150 000 €
                                                                    ",,148,,,4.0
149,149,Ancien,3300 €,non,,RDC,Individuel,Electrique,,144.0,paris-75011,"
                                                                            1 253 000 €
                                                                    ",,149,Individuel,,2.0
150,150,,,,,,,,,,grigny-91350,,,150,,,
151,151,Ancien,600 €,non,1964.0,RDC,,,3.0,434.0,orsay-91400,"
                                                                            62 500 €
                                                                    ",11.68 m²,151,,1.0,1.0
152,152,Ancien,600 €,non,1964.0,RDC,,,3.0,434.0,orsay-91400,"
                                                                            62 500 €
                                                                    ",11.68 m²,152,,1.0,1.0
153,153,Ancien,240 €,non,,RDC,Individuel,Electrique,1.0,48.0,corbeil-essonnes-91100,"
                                                                            65 500 €
                                                                    ",24 m²,153,Individuel,,1.0
154,154,,,,,,,,,,corbeil-essonnes-91100,,,154,,,
155,155,Ancien,960 €,non,1940.0,1,Individuel,Electrique,1.0,8.0,corbeil-essonnes-91100,"
                                                                            79 800 €
                                                                    ",32 m²,155,Individuel,1.0,2.0
156,156,,744 €,non,1950.0,RDC,Individuel,Electrique,2.0,9.0,bretigny-sur-orge-91220,"
                                                                            80 000 €
                                                                    ",31.5 m²,156,Individuel,,1.0
157,157,,,,,,,,,,corbeil-essonnes-91100,,,157,,,
158,158,Sur plan,540 €,non,1930.0,2,Individuel,Electrique,3.0,,corbeil-essonnes-91100,"
                                                                            80 000 €
                                                                    ",39 m²,158,Individuel,1.0,2.0
159,159,Moins de 10 ans,768 €,non,2009.0,RDC,Individuel,Electrique,3.0,,corbeil-essonnes-91100,"
                                                                            81 900 €
                                                                    ",30 m²,159,Individuel,,1.0
160,160,,,,,,,,,,corbeil-essonnes-91100,,,160,,,
161,161,Ancien,2232 €,non,1969.0,RDC,Collectif,Gaz,5.0,90.0,draveil-91210,"
                                                                            89 500 €
                                                                    ",37 m²,161,Collectif,,1.0
162,162,Ancien,1248 €,non,1980.0,RDC,Individuel,Electrique,,40.0,villabe-91100,"
                                                                            92 000 €
                                                                    ",26 m²,162,Individuel,,1.0
163,163,Ancien,1200 €,non,1940.0,2,Individuel,Electrique,3.0,6.0,corbeil-essonnes-91100,"
                                                                            87 400 €
                                                                    ",38 m²,163,Individuel,,1.0
